route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
428-5146,428,"Chapel Hill - University of Qld",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/428,E463A4,1D1D1D
430-4948,430,"Fig Tree Pocket - City Express",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/430,E463A4,1D1D1D
430-5065,430,"Fig Tree Pocket - City Express",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/430,E463A4,1D1D1D
430-5146,430,"Fig Tree Pocket - City Express",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/430,E463A4,1D1D1D
431-4948,431,"Kenmore South - City Rocket",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/431,E463A4,1D1D1D
431-5065,431,"Kenmore South - City Rocket",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/431,E463A4,1D1D1D
431-5146,431,"Kenmore South - City Rocket",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/431,E463A4,1D1D1D
432-4948,432,"Kenmore - University of Qld Express",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/432,E463A4,1D1D1D
432-5065,432,"Kenmore - University of Qld Express",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/432,E463A4,1D1D1D
432-5146,432,"Kenmore - University of Qld Express",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/432,E463A4,1D1D1D
433-4948,433,"Kenmore South - City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/433,E463A4,1D1D1D
433-5065,433,"Kenmore South - City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/433,E463A4,1D1D1D
433-5146,433,"Kenmore South - City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/433,E463A4,1D1D1D
435-4948,435,"Brookfield - City Express",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/435,E463A4,1D1D1D
